movie_code,title,description,poster_url,duration_min,director,actors,release_date,age_rating,formats,languages,priority,demand_score,genres
M001,Avatar 2: The Way of Water,James Cameron returns to the world of Pandora in this epic sequel about family and survival,https://m.media-amazon.com/images/M/MV5BYjhiNjBlODctY2ZiOC00YjVlLWFlNzAtNTVhNzM1YjI1NzMxXkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_.jpg,192,James Cameron,Sam Worthington|Zoe Saldana|Sigourney Weaver,2024-12-20,T13,3D|2D,VI|EN,1,0.9,Action|Adventure|Sci-Fi
M002,Inside Out 2,Pixar's beloved characters return in this emotional sequel about growing up,https://m.media-amazon.com/images/M/MV5BZGM3YjI3YzYtYzU1Ny00YjM5LTg5ZDYtYzE5YzE5YzE5YzE5XkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_.jpg,110,Kelsey Mann,Amy Poehler|Phyllis Smith|Lewis Black,2024-12-15,P,2D,VI,2,0.8,Animation|Family|Comedy
M003,The Batman,Robert Pattinson stars as the Dark Knight in this gritty detective story,https://m.media-amazon.com/images/M/MV5BM2MyNTAwZGEtNTAxNC00ODVjLTgzZjUtYmU0YjAzNmQyZDEwXkEyXkFqcGdeQXVyNDc2NTg3NzA@._V1_.jpg,176,Matt Reeves,Robert Pattinson|Zoë Kravitz|Paul Dano,2024-12-25,T16,2D|IMAX,VI|EN,1,0.85,Action|Crime|Drama
M004,Top Gun: Maverick,Tom Cruise returns as Maverick in this high-flying sequel,https://m.media-amazon.com/images/M/MV5BMzA3Nzk1ODgzM15BMl5BanBnXkFtZTgwMDkzNjU2MTM@._V1_.jpg,130,Joseph Kosinski,Tom Cruise|Miles Teller|Jennifer Connelly,2024-12-18,T13,2D|IMAX,VI|EN,1,0.9,Action|Drama|Adventure
M005,Black Panther: Wakanda Forever,The kingdom of Wakanda mourns the loss of their king in this powerful sequel,https://m.media-amazon.com/images/M/MV5BNTM4NjIxNmEtYWE5NS00NDczLTkyNWQtYThhNmQyZGQzMjM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,161,Ryan Coogler,Letitia Wright|Angela Bassett|Tenoch Huerta,2024-12-22,T13,3D|2D,VI|EN,2,0.8,Action|Adventure|Drama
M006,Everything Everywhere All at Once,Michelle Yeoh stars in this mind-bending multiverse adventure,https://m.media-amazon.com/images/M/MV5BYTdiOTIyZTQtNmQ1OS00NjZlLWIyMTgtYzk5Y2M3ZDVmMDk1XkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_.jpg,139,Daniel Kwan|Daniel Scheinert,Michelle Yeoh|Ke Huy Quan|Stephanie Hsu,2024-12-28,T16,2D,VI|EN,3,0.75,Action|Adventure|Comedy
M007,Spider-Man: No Way Home,Peter Parker's identity is revealed in this epic multiverse adventure,https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_.jpg,148,Jon Watts,Tom Holland|Zendaya|Benedict Cumberbatch,2024-12-30,T13,3D|2D,VI|EN,1,0.95,Action|Adventure|Sci-Fi
M008,The Menu,A dark comedy about a celebrity chef who serves up more than just food,https://m.media-amazon.com/images/M/MV5BMzdjNjI5MmYtODhiNS00NTcyLWEzZmUtYzVmODM5YzExNDE3XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,107,Mark Mylod,Ralph Fiennes|Anya Taylor-Joy|Nicholas Hoult,2024-12-17,T16,2D,VI|EN,2,0.7,Comedy|Horror|Thriller
M009,Minions: The Rise of Gru,The Minions are back in this prequel about young Gru,https://m.media-amazon.com/images/M/MV5BMmJkYzFhODAtY2IxYS00NDM0LWFkNzYtZDM4NDJmZGI5MGVlXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,87,Kyle Balda|Brad Ableson|Jonathan del Val,Steve Carell|Pierre Coffin|Alan Arkin,2024-12-19,P,3D|2D,VI,2,0.8,Animation|Adventure|Comedy
M010,Thor: Love and Thunder,Thor embarks on a journey unlike anything he's ever faced,https://m.media-amazon.com/images/M/MV5BYmMxZWRiMTgtZjM0Ny00NDQxLWIxYWQtZDdlNDNkOTEzYTdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,119,Taika Waititi,Chris Hemsworth|Natalie Portman|Christian Bale,2024-12-23,T13,3D|2D,VI|EN,1,0.85,Action|Adventure|Comedy
M011,The Woman King,Viola Davis leads an all-female warrior unit in this historical epic,https://m.media-amazon.com/images/M/MV5BY2I4MDIwYWUtOWMxNC00NmIwLWE0MDYtNTRiZWM0ZWM5OTM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,135,Gina Prince-Bythewood,Viola Davis|Thuso Mbedu|Lashana Lynch,2024-12-26,T16,2D,VI|EN,2,0.75,Action|Drama|Adventure
M012,Smile,A psychological horror film about a mysterious curse,https://m.media-amazon.com/images/M/MV5BMjAyNzUwNjMxNV5BMl5BanBnXkFtZTgwMjE5NTU1MTM@._V1_.jpg,115,Parker Finn,Sosie Bacon|Jessie T. Usher|Kyle Gallner,2024-12-27,T18,2D,VI|EN,3,0.7,Horror|Mystery|Thriller
M013,Black Adam,Dwayne Johnson stars as the antihero Black Adam,https://m.media-amazon.com/images/M/MV5BYzZkOTU0YjYtYzFkNi00ZGIyLWE3MmQtN2U3YzAxZTk1ODM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,125,Jaume Collet-Serra,Dwayne Johnson|Aldis Hodge|Pierce Brosnan,2024-12-29,T13,3D|2D,VI|EN,1,0.8,Action|Adventure|Sci-Fi
M014,The Fabelmans,Steven Spielberg's semi-autobiographical coming-of-age story,https://m.media-amazon.com/images/M/MV5BMmU2NTNiNzYtNmE5OS00NzEzLTg0YzgtYjM3ZDFkOGEwN2RlXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,151,Steven Spielberg,Gabriel LaBelle|Michelle Williams|Paul Dano,2024-12-31,T13,2D,VI|EN,2,0.7,Drama|Family
M015,Glass Onion: A Knives Out Mystery,Daniel Craig returns as detective Benoit Blanc in this whodunit,https://m.media-amazon.com/images/M/MV5BMmZiN2VmMjktZDE5OC00ZWRlLWEwM2ItMzU2NDg4ODZkMzNlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,139,Rian Johnson,Daniel Craig|Edward Norton|Janelle Monáe,2025-01-02,T16,2D,VI|EN,2,0.8,Comedy|Crime|Mystery
M016,The Whale,Brendan Fraser gives a powerful performance in this emotional drama,https://m.media-amazon.com/images/M/MV5BZDQ4Njg4YTctNGZkYi00NWU1LWIzYmYtNDYxMjA0N2JkZWUwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,117,Darren Aronofsky,Brendan Fraser|Sadie Sink|Hong Chau,2025-01-05,T16,2D,VI|EN,3,0.7,Drama|Psychological
M017,Ant-Man and the Wasp: Quantumania,Paul Rudd and Evangeline Lilly shrink into the quantum realm,https://m.media-amazon.com/images/M/MV5BODZhNzlmOGItMWUyNS00MjRlLWE5OGYtYWFmYjRhZjcyOTUyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,124,Peyton Reed,Paul Rudd|Evangeline Lilly|Jonathan Majors,2025-01-08,T13,3D|2D,VI|EN,1,0.85,Action|Adventure|Comedy
M018,Creed III,Michael B. Jordan stars and directs in this boxing drama,https://m.media-amazon.com/images/M/MV5BMDBiYmRkN2UtNzM5MS00MTQyLTk2MGMtNzM5YzFhMGVkNjM5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,116,Michael B. Jordan,Michael B. Jordan|Tessa Thompson|Jonathan Majors,2025-01-10,T16,2D,VI|EN,2,0.75,Action|Drama|Adventure
M019,John Wick: Chapter 4,Keanu Reeves returns as the legendary assassin,https://m.media-amazon.com/images/M/MV5BMDBkMWUxYWMtNGM2Ny00YzA5LWI1YzYtYzFkOTM5YzE5YzE5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,169,Chad Stahelski,Keanu Reeves|Donnie Yen|Bill Skarsgård,2025-01-12,T18,2D|IMAX,VI|EN,1,0.9,Action|Crime|Thriller
M020,The Super Mario Bros. Movie,Chris Pratt voices Mario in this animated adventure,https://m.media-amazon.com/images/M/MV5BOTJhNzlmNzctNTU5Yy00N2YwLThhMjQtZDM0YjEzN2Y0ZjNhXkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_.jpg,92,Aaron Horvath|Michael Jelenic,Chris Pratt|Anya Taylor-Joy|Charlie Day,2025-01-15,P,3D|2D,VI,2,0.9,Animation|Adventure|Comedy
